PRODUCTID,LANGUAGE,SHORT_DESCR,MEDIUM_DESCR,LONG_DESCR
RC-1053,EN,Stream I,Stream I performance road racing bike for speed enthusiasts,"The Stream I combines lightweight construction with aerodynamic tube shaping to reduce drag and maximize efficiency. Ideal for amateur racers and fast group rides, it ensures smooth handling and consistent performance."
RC-1053,DE,Stream I Rennrad,Stream I Performance-Rennrad für Ausdauer,"Das Stream I kombiniert Leichtbauweise und Stabilität für lange Distanzen."
RC-1053,FR,Stream I vélo de course,Stream I vélo endurance performance,"Le Stream I associe légèreté et stabilité pour longues distances."
RC-1053,ES,Stream I bicicleta de carrera,Stream I bicicleta endurance rendimiento,"La Stream I combina ligereza y estabilidad para largas distancias."
RC-1054,EN,Stream II,Stream II advanced racing bike optimized for endurance events,"The Stream II enhances long-distance racing performance with improved comfort geometry and high-precision components. Its balanced frame stiffness and aerodynamic profile make it suitable for endurance competitions and long road challenges."
RC-1054,DE,Stream II Rennrad,Stream II Ausdauer-Rennrad mit Komfortfokus,"Das Stream II bietet verbesserte Geometrie für Langstreckenrennen."
RC-1054,FR,Stream II vélo de course,Stream II vélo endurance confort optimisé,"Le Stream II propose une géométrie adaptée aux courses longue distance."
RC-1054,ES,Stream II bicicleta de carrera,Stream II bicicleta endurance confort optimizado,"La Stream II presenta una geometría adaptada a competiciones de larga distancia."
RC-1055,EN,Veloflash,Veloflash high-speed racing bike with aerodynamic design,"The Veloflash is built for riders seeking maximum velocity and control. Featuring a race-tuned carbon frame, aerodynamic fork, and competition-grade drivetrain, it delivers explosive acceleration and sharp responsiveness."
RC-1055,DE,Veloflash Rennrad,Veloflash Hochgeschwindigkeits-Rennrad,"Das Veloflash setzt auf maximale Geschwindigkeit mit aerodynamischem Carbonrahmen."
RC-1055,FR,Veloflash vélo de course,Veloflash vélo haute vitesse aérodynamique,"Le Veloflash est conçu pour la vitesse maximale avec cadre carbone optimisé."
RC-1055,ES,Veloflash bicicleta de carrera,Veloflash bicicleta alta velocidad aerodinámica,"La Veloflash está diseñada para máxima velocidad con cuadro de carbono optimizado."
RC-1056,EN,Veloflash SE,Veloflash SE special edition racing bike with premium components,"The Veloflash SE enhances performance with upgraded shifting technology and refined aerodynamics. Designed for competitive cyclists, it provides optimal stiffness and improved power efficiency during high-speed rides."
RC-1056,DE,Veloflash SE Rennrad,Veloflash SE Sonderedition Rennrad,"Das Veloflash SE ergänzt die Serie mit Premium-Komponenten und optimierter Schaltperformance."
RC-1056,FR,Veloflash SE vélo de course,Veloflash SE édition spéciale performance,"Le Veloflash SE offre composants premium et transmission améliorée."
RC-1056,ES,Veloflash SE bicicleta de carrera,Veloflash SE edición especial rendimiento,"La Veloflash SE incorpora componentes premium y transmisión mejorada."
RC-1057,EN,Veloflash Ultimate,Veloflash Ultimate top-tier racing bike for elite performance,"The Veloflash Ultimate represents the pinnacle of the racing series, combining ultra-light materials, advanced aerodynamics, and elite-level components. Designed for serious competitors, it maximizes speed, efficiency, and control."
RC-1057,DE,Veloflash Ultimate Rennrad,Veloflash Ultimate High-End-Rennrad,"Das Veloflash Ultimate vereint ultraleichte Materialien und modernste Renntechnologie."
RC-1057,FR,Veloflash Ultimate vélo de course,Veloflash Ultimate modèle haut de gamme compétition,"Le Veloflash Ultimate combine matériaux ultralégers et technologie de pointe pour performance professionnelle."
RC-1057,ES,Veloflash Ultimate bicicleta de carrera,Veloflash Ultimate modelo competición alta gama,"La Veloflash Ultimate combina materiales ultraligeros y tecnología avanzada para rendimiento profesional."
DB-1081,EN,Rooty Basic,Rooty Basic downhill bike for entry-level gravity riding,"The Rooty Basic is designed for steep descents and rough terrain. With a reinforced frame, heavy-duty suspension system, and wide high-grip tires, it ensures durability and stability on demanding downhill trails."
DB-1081,DE,Rooty Basic Downhill-Bike,Rooty Basic Downhill-Bike für Einsteiger,"Das Rooty Basic ist für steile Abfahrten ausgelegt und bietet robuste Federung."
DB-1081,FR,Rooty Basic vélo downhill,Rooty Basic vélo downhill pour débutants,"Le Rooty Basic est conçu pour descentes raides avec suspension robuste."
DB-1081,ES,Rooty Basic bicicleta downhill,Rooty Basic bicicleta downhill para principiantes,"La Rooty Basic está diseñada para descensos pronunciados con suspensión robusta."
DB-1082,EN,Capricorn,Capricorn downhill bike built for aggressive terrain control,"The Capricorn offers enhanced suspension travel and robust construction for technical downhill tracks. Engineered for stability and shock absorption, it delivers confidence on rocky descents and high-speed runs."
DB-1082,DE,Capricorn Downhill-Bike,Capricorn Downhill-Bike für aggressive Trails,"Das Capricorn überzeugt durch lange Federwege und stabile Bauweise."
DB-1082,FR,Capricorn vélo downhill,Capricorn vélo downhill pour terrains agressifs,"Le Capricorn propose débattement long et stabilité maximale."
DB-1082,ES,Capricorn bicicleta downhill,Capricorn bicicleta downhill para terrenos exigentes,"La Capricorn ofrece amplio recorrido de suspensión y máxima estabilidad."
DB-1083,EN,Capricorn II,Capricorn II advanced downhill bike with upgraded suspension,"The Capricorn II improves downhill performance with premium suspension components and reinforced frame geometry. Designed for experienced riders, it ensures maximum control on extreme slopes and rugged trails."
DB-1083,DE,Capricorn II Downhill-Bike,Capricorn II Premium-Downhill-Modell,"Das Capricorn II erweitert die Serie um verbesserte Dämpfung und Kontrolle."
DB-1083,FR,Capricorn II vélo downhill,Capricorn II modèle premium downhill,"Le Capricorn II améliore amortissement et contrôle en descente."
DB-1083,ES,Capricorn II bicicleta downhill,Capricorn II modelo downhill premium,"La Capricorn II mejora amortiguación y control en descensos técnicos."
EB-1131,EN,Flash Drive,Flash Drive electric bike with smooth pedal assistance,"The Flash Drive eBike combines electric pedal support with comfortable geometry for effortless riding. Its integrated motor system and long-lasting battery make commuting and leisure trips easier and more enjoyable."
EB-1131,DE,Flash Drive E-Bike,Flash Drive E-Bike für komfortable Stadtmobilität,"Das Flash Drive E-Bike unterstützt mit einem leistungsstarken Elektromotor und integriertem Akku. Die ergonomische Sitzposition und sanfte Motorunterstützung machen tägliche Wege effizient und angenehm."
EB-1131,FR,Flash Drive vélo électrique,Flash Drive vélo électrique pour mobilité urbaine,"Le Flash Drive combine assistance électrique fluide et position confortable pour trajets quotidiens."
EB-1131,ES,Flash Drive bicicleta eléctrica,Flash Drive bicicleta eléctrica para movilidad urbana,"La Flash Drive combina asistencia eléctrica suave y posición cómoda para desplazamientos diarios."
EB-1132,EN,Flash Drive II,Flash Drive II enhanced eBike with extended battery range,"The Flash Drive II improves efficiency with an upgraded motor and extended battery capacity. Designed for daily commuters, it delivers reliable pedal assistance and smooth acceleration."
EB-1132,DE,Flash Drive II E-Bike,Flash Drive II E-Bike mit erweiterter Reichweite,"Das Flash Drive II bietet verbesserte Akkukapazität und optimierte Motorsteuerung. Ideal für längere Pendelstrecken und komfortable Touren mit elektrischer Unterstützung."
EB-1132,FR,Flash Drive II vélo électrique,Flash Drive II vélo électrique autonomie étendue,"Le Flash Drive II offre batterie optimisée et assistance moteur renforcée."
EB-1132,ES,Flash Drive II bicicleta eléctrica,Flash Drive II bicicleta eléctrica autonomía ampliada,"La Flash Drive II ofrece batería optimizada y asistencia mejorada para trayectos más largos."
EB-1133,EN,Lazy Cat,Lazy Cat comfort-focused electric bike for relaxed riding,"The Lazy Cat prioritizes comfort and ease of use with upright seating, intuitive controls, and smooth electric support. Ideal for urban mobility and relaxed weekend rides."
EB-1133,DE,Lazy Cat E-Bike,Lazy Cat komfortables City-E-Bike,"Das Lazy Cat setzt auf aufrechte Sitzposition und sanfte Motorunterstützung."
EB-1133,FR,Lazy Cat vélo électrique,Lazy Cat vélo électrique urbain confortable,"Le Lazy Cat privilégie confort et posture droite avec assistance douce."
EB-1133,ES,Lazy Cat bicicleta eléctrica,Lazy Cat bicicleta eléctrica urbana confortable,"La Lazy Cat prioriza comodidad y postura erguida con asistencia suave."
EB-1134,EN,Lazy Cat II,Lazy Cat II improved comfort eBike with refined motor system,"The Lazy Cat II enhances rider comfort with optimized battery integration and smoother assistance delivery. Perfect for city cruising and effortless transportation."
EB-1134,DE,Lazy Cat II E-Bike,Lazy Cat II verbessertes Komfort-E-Bike,"Das Lazy Cat II optimiert Integration und Fahrkomfort."
EB-1134,FR,Lazy Cat II vélo électrique,Lazy Cat II version améliorée confort,"Le Lazy Cat II optimise intégration batterie et fluidité de conduite."
EB-1134,ES,Lazy Cat II bicicleta eléctrica,Lazy Cat II versión mejorada confort,"La Lazy Cat II optimiza integración de batería y fluidez de conducción."
EB-1135,EN,Speedeon,Speedeon dynamic electric bike for fast urban commuting,"The Speedeon offers responsive motor assistance and agile handling for city riders. With efficient battery management and modern styling, it supports quick and comfortable daily travel."
EB-1135,DE,Speedeon E-Bike,Speedeon sportliches E-Bike für Stadtfahrten,"Das Speedeon kombiniert dynamisches Design mit reaktionsschneller Unterstützung."
EB-1135,FR,Speedeon vélo électrique,Speedeon vélo électrique dynamique urbain,"Le Speedeon associe design moderne et assistance réactive."
EB-1135,ES,Speedeon bicicleta eléctrica,Speedeon bicicleta eléctrica urbana dinámica,"La Speedeon combina diseño moderno y asistencia reactiva."
EB-1136,EN,Speedeon Light,Speedeon Light lightweight eBike for agile city mobility,"The Speedeon Light reduces overall weight while maintaining powerful pedal assistance. Designed for flexibility and easy maneuvering in urban environments."
EB-1136,DE,Speedeon Light E-Bike,Speedeon Light leichtes E-Bike,"Das Speedeon Light reduziert Gewicht bei hoher Effizienz."
EB-1136,FR,Speedeon Light vélo électrique,Speedeon Light vélo électrique léger,"Le Speedeon Light réduit le poids tout en maintenant efficacité."
EB-1136,ES,Speedeon Light bicicleta eléctrica,Speedeon Light bicicleta eléctrica ligera,"La Speedeon Light reduce peso manteniendo eficiencia."
EB-1137,EN,Speedeon Cross,Speedeon Cross electric bike for mixed terrain exploration,"The Speedeon Cross combines electric support with versatile tires and reinforced frame geometry. Suitable for both paved roads and light off-road paths."
EB-1137,DE,Speedeon Cross E-Bike,Speedeon Cross E-Bike für gemischtes Terrain,"Das Speedeon Cross eignet sich für Straße und leichte Offroad-Strecken."
EB-1137,FR,Speedeon Cross vélo électrique,Speedeon Cross vélo électrique terrain mixte,"Le Speedeon Cross convient route et chemins grâce à pneus polyvalents."
EB-1137,ES,Speedeon Cross bicicleta eléctrica,Speedeon Cross bicicleta eléctrica terreno mixto,"La Speedeon Cross es adecuada para carretera y caminos gracias a neumáticos versátiles."
CB-1161,EN,La Plage,La Plage stylish cruiser bike for relaxed city rides,"The La Plage cruiser blends comfort and elegance with wide handlebars, smooth tires, and a relaxed seating position. Perfect for leisurely rides along the waterfront or through the city."
CB-1161,DE,La Plage Cruiser,La Plage stilvolles Cruiser-Bike,"Das La Plage steht für entspanntes Fahren mit breitem Lenker und komfortabler Sitzposition."
CB-1161,FR,La Plage cruiser,La Plage vélo cruiser élégant,"Le La Plage offre conduite détendue avec guidon large et selle confortable."
CB-1161,ES,La Plage cruiser,La Plage bicicleta cruiser elegante,"La La Plage ofrece conducción relajada con manillar ancho y sillín cómodo."
CB-1162,EN,La Plage Limited,La Plage Limited premium cruiser with refined design details,"The La Plage Limited enhances comfort with upgraded saddle materials and exclusive styling accents. Designed for riders who value both aesthetics and relaxed performance."
CB-1162,DE,La Plage Limited Cruiser,La Plage Limited Premium-Cruiser,"Das La Plage Limited bietet exklusive Details und hochwertige Materialien."
CB-1162,FR,La Plage Limited cruiser,La Plage Limited cruiser premium,"Le La Plage Limited propose finitions exclusives et matériaux de qualité."
CB-1162,ES,La Plage Limited cruiser,La Plage Limited cruiser premium,"La La Plage Limited presenta acabados exclusivos y materiales de alta calidad."
CB-1163,EN,La Plage Gold,La Plage Gold luxury cruiser bike with elegant finish,"The La Plage Gold features premium components and distinctive design elements. Built for comfortable and stylish cruising, it ensures a smooth and enjoyable ride."
CB-1163,DE,La Plage Gold Cruiser,La Plage Gold Luxus-Cruiser,"Das La Plage Gold kombiniert elegantes Design mit erstklassigen Komponenten."
CB-1163,FR,La Plage Gold cruiser,La Plage Gold cruiser luxe,"Le La Plage Gold associe design raffiné et composants haut de gamme."
CB-1163,ES,La Plage Gold cruiser,La Plage Gold cruiser lujo,"La La Plage Gold combina diseño refinado y componentes de alta gama."
HB-1171,EN,Star Cruise,Star Cruise hybrid bike for versatile everyday riding,"The Star Cruise combines road efficiency with mountain bike stability. Its balanced frame design and adaptable tires make it ideal for commuting and recreational rides."
HB-1171,DE,Star Cruise Hybridrad,Star Cruise vielseitiges Hybridrad,"Das Star Cruise verbindet Straßeneffizienz mit Mountainbike-Stabilität."
HB-1171,FR,Star Cruise vélo hybride,Star Cruise vélo hybride polyvalent,"Le Star Cruise combine efficacité route et stabilité VTT."
HB-1171,ES,Star Cruise bicicleta híbrida,Star Cruise bicicleta híbrida versátil,"La Star Cruise combina eficiencia en carretera y estabilidad tipo montaña."
HB-1172,EN,Star Cruise II,Star Cruise II upgraded hybrid bike with enhanced comfort,"The Star Cruise II offers improved suspension and ergonomic features for versatile performance. Suitable for mixed terrain and daily commuting."
HB-1172,DE,Star Cruise II Hybridrad,Star Cruise II Komfort-Hybridrad,"Das Star Cruise II verbessert Ergonomie und Federung."
HB-1172,FR,Star Cruise II vélo hybride,Star Cruise II hybride confort amélioré,"Le Star Cruise II optimise ergonomie et suspension."
HB-1172,ES,Star Cruise II bicicleta híbrida,Star Cruise II híbrida confort mejorado,"La Star Cruise II mejora ergonomía y suspensión."
HB-1173,EN,Universal One,UUniversal One all-purpose hybrid bike for varied terrain,"The Universal One integrates road and trail capabilities into a practical design. With durable components and comfortable geometry, it supports flexible riding styles."
HB-1173,DE,Universal One Hybridrad,Universal One Allround-Hybrid,"Das Universal One eignet sich für unterschiedliche Untergründe."
HB-1173,FR,Universal One vélo hybride,Universal One hybride tout-terrain,"Le Universal One s’adapte à différents types de surfaces."
HB-1173,ES,Universal One bicicleta híbrida,Universal One híbrida todoterreno,"La Universal One se adapta a diferentes tipos de superficies."
HB-1174,EN,Universal Two,Universal Two performance hybrid bike with balanced handling,"The Universal Two enhances ride stability and efficiency across paved and gravel surfaces. Designed for riders seeking adaptability and reliability."
HB-1174,DE,Universal Two Hybridrad,Universal Two Performance-Hybrid,"Das Universal Two bietet ausgewogene Geometrie für Alltag und Freizeit."
HB-1174,FR,Universal Two vélo hybride,Universal Two hybride performance équilibrée,"Le Universal Two assure stabilité et efficacité au quotidien."
HB-1174,ES,Universal Two bicicleta híbrida,Universal Two híbrida rendimiento equilibrado,"La Universal Two ofrece estabilidad y eficiencia para uso diario."
HB-1175,EN,Specifica,Specifica versatile hybrid bike for efficient mobility,"The Specifica delivers dependable performance for daily commuting and recreational use. Its combination of lightweight structure and stable handling ensures comfort and speed."
HB-1175,DE,Specifica Hybridrad,Specifica vielseitiges Hybridmodell,"Das Specifica kombiniert Effizienz und Stabilität."
HB-1175,FR,Specifica vélo hybride,Specifica modèle hybride polyvalent,"Le Specifica associe efficacité et robustesse pour usage mixte."
HB-1175,ES,Specifica bicicleta híbrida,Specifica modelo híbrido versátil,"La Specifica combina eficiencia y robustez para uso mixto."
HB-1176,EN,Specifica Gold,SSpecifica Gold premium hybrid bike with refined components,"The Specifica Gold upgrades the hybrid concept with enhanced drivetrain precision and comfort features. Built for riders who demand versatility and elevated ride quality."
HB-1176,DE,Specifica Gold Hybridrad,Specifica Gold Premium-Hybrid,"Das Specifica Gold erweitert das Konzept um hochwertige Antriebskomponenten."
HB-1176,FR,Specifica Gold vélo hybride,Specifica Gold hybride premium,"Le Specifica Gold complète la gamme avec composants haut de gamme."
HB-1176,ES,Specifica Gold bicicleta híbrida,Specifica Gold híbrida premium,"La Specifica Gold completa la gama con componentes de alta calidad."